Service,Control,Trigger,ConfigName,Severity,Enable/Disable,Reason
ACM,[ACM.1] Imported ACM certificates should be renewed after a specified time period,Configuration Change,ACM_CERTIFICATE_EXPIRATION_CHECK,Medium,Enable,data security
API Gateway,[APIGateway.1] API Gateway REST and WebSocket API logging should be enabled,Configuration Change,API_GW_EXECUTION_LOGGING_ENABLED,Medium,Disable,non-critical in sandbox env
,[APIGateway.2] API Gateway REST API stages should be configured to use SSL certificates for backend authentication,Configuration Change,API_GW_SSL_ENABLED,Medium,Disable,non-critical in sandbox env
,[APIGateway.3] API Gateway REST API stages should have AWS X-Ray tracing enabled,Configuration Change,API_GW_XRAY_ENABLED,Low,Disable,up to user's choice to enable AWS X-Ray
AutoScaling,[AutoScaling.1] Auto Scaling groups associated with a load balancer should use load balancer health checks,Configuration Change,AUTOSCALING_GROUP_ELB_HEALTHCHECK_REQUIRED,Low,Disable,up to user's choice
CloudFront,[CloudFront.1] CloudFront distributions should have a default root object configured,Configuration Change,CLOUDFRONT_DEFAULT_ROOT_OBJECT_CONFIGURED,Critical,Enable,help avoid exposing content of web distribution
,[CloudFront.2] CloudFront distributions should have origin access identity enabled,Configuration Change,CLOUDFRONT_ORIGIN_ACCESS_IDENTITY_ENABLED,Medium,Enable,encouraged to restrict user from accessing S3 bucket directly
,[CloudFront.3] CloudFront distributions should require encryption in transit,Configuration Change,CLOUDFRONT_VIEWER_POLICY_HTTPS,Medium,Enable,data security
,[CloudFront.4] CloudFront distributions should have origin failover configured,Configuration Change,CLOUDFRONT_ORIGIN_FAILOVER_ENABLED,Low,Disable,up to user's choice
CloudTrail,[CloudTrail.1] CloudTrail should be enabled and configured with at least one multi-Region trail,Configuration Change,MULTI_REGION_CLOUD_TRAIL_ENABLED,High,Enable,enabled through Control Tower account factory
,[CloudTrail.2] CloudTrail should have encryption at rest enabled,Configuration Change,CLOUD_TRAIL_ENCRYPTION_ENABLED,Medium,Enable,data security
,[CloudTrail.4] Ensure CloudTrail log file validation is enabled,Periodic,CLOUD_TRAIL_LOG_FILE_VALIDATION_ENABLED,Low,Disable,non-critical in sandbox env
,[CloudTrail.5] Ensure CloudTrail trails are integrated with Amazon CloudWatch Logs,Periodic,CLOUD_TRAIL_CLOUD_WATCH_LOGS_ENABLED,Low,Disable,non-critical in sandbox env
CodeBuild,[CodeBuild.1] CodeBuild GitHub or Bitbucket source repository URLs should use OAuth,Configuration Change,CODEBUILD_PROJECT_SOURCE_REPO_URL_CHECK,Critical,Enable,Github/bitbucket url should not contain personal access token or username and password.
,[CodeBuild.2] CodeBuild project environment variables should not contain clear text credentials,Configuration Change,CODEBUILD_PROJECT_ENVVAR_AWSCRED_CHECK,Critical,Enable,Avoid users using clear text credentials on env variables
Config,[Config.1] AWS Config should be enabled,,,,Disable,
DMS,[DMS.1] AWS Database Migration Service replication instances should not be public,Periodic,DMS_REPLICATION_NOT_PUBLIC,Critical,Enable,avoid public access to DMS replication instance
DynamoDB,[DynamoDB.1] DynamoDB tables should automatically scale capacity with demand,Periodic,DYNAMODB_AUTOSCALING_ENABLED,Medium,Disable,up to user's choice
,[DynamoDB.2] DynamoDB tables should have point-in-time recovery enabled,Configuration Change,DYNAMODB_PITR_ENABLED,Medium,Disable,up to user's choice
,[DynamoDB.3] DynamoDB Accelerator (DAX) clusters should be encrypted at rest,Periodic,DAX_ENCRYPTION_ENABLED,Medium,Enable,security concern
EC2,"[EC2.1] Amazon EBS snapshots should not be public, determined by the ability to be restorable by anyone",Periodic,EBS_SNAPSHOT_PUBLIC_RESTORABLE_CHECK,Critical,Enable,avoid public access
,[EC2.2] The VPC default security group should not allow inbound and outbound traffic,Configuration Change,VPC_DEFAULT_SECURITY_GROUP_CLOSED,High,Enable,network security
,[EC2.3] Attached EBS volumes should be encrypted at rest,Periodic,EC2_EBS_ENCRYPTION_BY_DEFAULT,Medium,Enable,data security
,[EC2.4] Stopped EC2 instances should be removed after a specified time period,Periodic,EC2_STOPPED_INSTANCE,Medium,Enable,Can trigger a SNS to user that this instace has been stopped for x day and opt to restart or terminate the instance
,[EC2.6] VPC flow logging should be enabled in all VPCs,Periodic,VPC_FLOW_LOGS_ENABLED,Medium,Disable,up to user's choice
,[EC2.7] EBS default encryption should be enabled,Configuration Change,EC2_EBS_ENCRYPTION_BY_DEFAULT,Medium,Enable,data security
,[EC2.8] EC2 instances should use IMDSv2,Configuration Change,EC2_IMDSV2_CHECK,High,Disable,non-critical in sandbox env
,[EC2.9] EC2 instances should not have a public IP address,Configuration Change,EC2_INSTANCE_NO_PUBLIC_IP,High,Enable,avoid public access
,[EC2.10] Amazon EC2 should be configured to use VPC endpoints,Periodic,SERVICE_VPC_ENDPOINT_ENABLED,Medium,Disable,non-critical in sandbox env
